"NAME:","run_2_2.csv"
"EXPERIMENT TIME:","25-05-2022 13:43"
"ACTIVITY TYPE:","Run"
"COUNT OF ACTUAL STEPS","110"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","0.13","-0.68","10.25"
"0.027","0.21","-0.72","10.25"
"0.054","0.24","-0.72","10.27"
"0.081","0.22","-0.70","10.28"
"0.108","0.18","-0.68","10.28"
"0.135","0.19","-0.66","10.27"
"0.162","0.25","-0.68","10.26"
"0.189","0.31","-0.69","10.27"
"0.217","0.36","-0.69","10.25"
"0.244","0.42","-0.69","10.24"
"0.271","0.45","-0.71","10.24"
"0.298","0.47","-0.71","10.23"
"0.325","0.46","-0.69","10.23"
"0.352","0.46","-0.67","10.23"
"0.379","0.48","-0.68","10.22"
"0.406","0.51","-0.69","10.21"
"0.433","0.50","-0.69","10.21"
"0.46","0.47","-0.70","10.22"
"0.487","0.42","-0.71","10.22"
"0.514","0.33","-0.71","10.23"
"0.542","0.24","-0.69","10.23"
"0.569","0.18","-0.69","10.24"
"0.596","0.15","-0.72","10.24"
"0.623","0.14","-0.76","10.22"
"0.65","0.09","-0.78","10.21"
"0.677","0.03","-0.78","10.23"
"0.704","-0.02","-0.78","10.25"
"0.732","-0.04","-0.80","10.25"
"0.76","-0.04","-0.82","10.27"
"0.788","-0.04","-0.82","10.26"
"0.817","-0.03","-0.83","10.25"
"0.845","-0.00","-0.85","10.23"
"0.873","0.01","-0.86","10.23"
"0.9","0.03","-0.87","10.23"
"0.927","0.07","-0.89","10.21"
"0.954","0.07","-0.92","10.18"
"0.981","0.04","-0.92","10.18"
"1.008","-0.01","-0.92","10.20"
"1.036","-0.06","-0.93","10.21"
"1.064","-0.08","-0.95","10.22"
"1.093","-0.08","-0.95","10.24"
"1.121","-0.07","-0.95","10.27"
"1.149","-0.02","-0.95","10.28"
"1.177","0.07","-0.91","10.31"
"1.204","0.17","-0.85","10.35"
"1.231","0.31","-0.80","10.38"
"1.258","0.51","-0.76","10.39"
"1.285","0.76","-0.75","10.31"
"1.312","1.03","-0.76","10.20"
"1.339","1.27","-0.77","10.19"
"1.367","1.47","-0.75","10.31"
"1.394","1.60","-0.73","10.25"
"1.421","1.57","-0.76","10.11"
"1.448","1.42","-0.72","10.04"
"1.475","1.29","-0.70","10.05"
"1.502","1.22","-0.76","10.10"
"1.529","1.15","-0.84","10.14"
"1.556","1.00","-0.84","10.21"
"1.583","0.75","-0.80","10.29"
"1.61","0.48","-0.76","10.30"
"1.637","0.26","-0.78","10.19"
"1.664","0.15","-0.78","10.25"
"1.692","0.16","-0.73","10.36"
"1.719","0.20","-0.75","10.42"
"1.746","0.22","-0.73","10.44"
"1.773","0.18","-0.63","10.38"
"1.8","0.11","-0.58","10.29"
"1.827","0.08","-0.65","10.17"
"1.854","0.13","-0.77","10.11"
"1.881","0.18","-0.83","10.02"
"1.908","0.09","-0.86","9.89"
"1.934","-0.08","-0.91","9.85"
"1.961","-0.25","-0.96","9.84"
"1.988","-0.40","-1.06","9.72"
"2.016","-0.62","-1.27","9.52"
"2.043","-1.02","-1.39","9.50"
"2.07","-1.50","-1.46","9.63"
"2.097","-2.02","-1.35","10.05"
"2.125","-2.44","-1.07","10.44"
"2.153","-2.67","-1.00","10.67"
"2.181","-2.68","-1.05","10.85"
"2.209","-2.40","-1.27","10.82"
"2.237","-2.24","-1.48","10.89"
"2.266","-2.30","-1.46","11.23"
"2.294","-2.35","-1.25","11.69"
"2.322","-2.22","-1.10","11.85"
"2.35","-1.97","-1.00","11.77"
"2.378","-1.58","-1.14","11.22"
"2.407","-1.21","-1.48","10.43"
"2.434","-1.04","-1.58","9.71"
"2.461","-1.07","-1.55","8.90"
"2.488","-1.32","-1.23","8.09"
"2.516","-1.37","-0.95","7.51"
"2.543","-1.09","-1.22","7.47"
"2.57","-0.37","-1.87","7.99"
"2.597","0.39","-1.75","8.30"
"2.623","0.44","-1.86","8.21"
"2.649","0.31","-2.29","8.78"
"2.675","0.65","-2.76","10.22"
"2.702","0.93","-2.78","11.78"
"2.729","0.38","-2.80","13.35"
"2.756","-0.36","-3.01","14.33"
"2.784","-0.53","-3.02","14.78"
"2.812","-0.41","-2.62","14.33"
"2.841","-0.67","-2.03","12.73"
"2.869","-1.18","-2.03","11.19"
"2.897","-1.24","-1.70","9.90"
"2.924","-1.67","-1.29","8.41"
"2.951","-2.62","-1.06","6.49"
"2.978","-3.51","-1.82","4.93"
"3.005","-2.00","-3.67","5.05"
"3.032","0.27","-3.94","5.92"
"3.058","1.95","-2.98","7.00"
"3.084","-0.26","-0.97","8.23"
"3.111","-1.38","-1.40","9.65"
"3.138","-1.87","-2.41","10.19"
"3.167","-1.64","-2.89","11.06"
"3.195","-0.85","-2.52","11.21"
"3.223","-0.24","-1.65","11.02"
"3.251","0.42","-0.58","10.57"
"3.278","-0.41","1.18","8.74"
"3.304","-1.69","1.46","6.93"
"3.33","-3.17","0.22","4.86"
"3.356","-0.47","-3.78","4.83"
"3.383","1.71","-3.78","5.18"
"3.409","3.14","-4.68","4.68"
"3.435","2.26","-5.56","6.17"
"3.461","0.62","-3.71","8.16"
"3.487","-0.76","-3.75","10.12"
"3.516","-1.73","-4.84","11.33"
"3.544","-2.51","-5.31","12.04"
"3.572","-2.64","-5.45","12.41"
"3.6","-2.48","-5.30","12.78"
"3.628","-3.24","-3.13","10.78"
"3.656","-4.72","-2.28","8.53"
"3.683","-5.92","-0.24","8.26"
"3.71","-5.47","0.66","6.06"
"3.736","-4.58","-1.66","4.38"
"3.763","-3.35","-2.40","2.60"
"3.791","-2.73","-3.45","3.40"
"3.818","-0.78","-3.55","4.51"
"3.845","0.16","-1.15","5.96"
"3.871","-2.01","1.01","7.66"
"3.897","-2.65","0.53","9.21"
"3.923","-2.95","-0.59","10.01"
"3.951","-2.79","-1.37","10.87"
"3.979","-2.18","-1.21","11.20"
"4.007","-1.67","-0.54","10.89"
"4.035","-1.53","-0.36","11.27"
"4.063","-1.16","1.25","9.83"
"4.089","-2.22","1.62","8.27"
"4.116","-2.66","-2.04","6.53"
"4.143","0.68","-4.82","6.53"
"4.169","2.82","-5.54","4.77"
"4.195","3.62","-6.17","5.74"
"4.221","2.69","-7.66","7.17"
"4.247","1.95","-9.43","9.04"
"4.273","1.36","-7.78","10.20"
"4.3","-0.22","-7.69","11.74"
"4.328","-0.73","-8.14","11.63"
"4.356","-0.69","-7.96","11.52"
"4.384","-0.81","-6.23","11.43"
"4.412","-1.94","-5.15","9.38"
"4.439","-3.39","-3.75","9.28"
"4.467","-3.86","-2.77","7.73"
"4.494","-3.40","-1.31","5.88"
"4.521","-3.16","0.03","4.26"
"4.547","-2.53","-3.97","4.45"
"4.574","-0.70","-5.84","4.45"
"4.601","1.32","-6.18","5.99"
"4.627","0.50","-3.93","7.67"
"4.653","-1.88","-2.00","9.27"
"4.68","-2.97","-2.80","10.11"
"4.708","-3.37","-3.77","10.69"
"4.736","-3.33","-3.37","10.74"
"4.764","-2.91","-2.63","10.39"
"4.793","-2.65","-2.20","10.30"
"4.821","-2.61","-0.57","9.48"
"4.848","-2.76","0.94","7.79"
"4.874","-4.22","1.73","5.86"
"4.9","-2.83","-2.27","4.51"
"4.927","0.60","-4.95","4.72"
"4.953","3.11","-5.80","4.11"
"4.979","3.24","-7.19","5.86"
"5.005","2.13","-8.87","7.84"
"5.031","0.29","-7.07","10.04"
"5.058","-1.35","-7.01","11.74"
"5.086","-2.58","-7.45","12.01"
"5.114","-3.15","-7.66","11.85"
"5.143","-3.29","-7.46","12.14"
"5.171","-3.99","-5.31","11.48"
"5.199","-5.44","-4.31","9.31"
"5.226","-7.12","-2.84","8.90"
"5.253","-7.15","-1.28","6.92"
"5.28","-6.41","-0.25","5.35"
"5.307","-5.64","-3.03","3.22"
"5.334","-4.96","-4.98","3.22"
"5.361","-1.81","-4.92","4.41"
"5.388","0.68","-2.83","4.86"
"5.414","-0.82","-0.65","6.48"
"5.442","-2.15","-0.91","7.76"
"5.469","-2.74","-2.04","8.05"
"5.496","-3.37","-2.24","8.67"
"5.523","-3.30","-1.64","8.28"
"5.55","-2.84","-0.77","7.54"
"5.577","-1.63","0.14","7.48"
"5.603","-0.59","1.80","5.86"
"5.629","-2.36","2.16","4.16"
"5.655","-4.60","0.16","3.46"
"5.681","-1.00","-3.70","3.48"
"5.708","2.01","-3.60","1.73"
"5.734","2.69","-4.07","2.94"
"5.76","2.35","-5.50","4.55"
"5.786","3.53","-3.65","6.93"
"5.812","2.52","-3.87","9.13"
"5.838","1.53","-4.84","10.22"
"5.865","0.75","-5.21","10.45"
"5.893","0.64","-5.21","10.67"
"5.92","1.24","-4.52","11.13"
"5.947","-0.53","-2.42","9.24"
"5.974","-2.29","-2.06","9.30"
"6.001","-2.64","-0.65","7.76"
"6.028","-2.16","0.63","5.65"
"6.054","-3.88","-1.96","4.24"
"6.081","-3.37","-3.97","3.91"
"6.108","-3.07","-5.13","5.01"
"6.135","-0.67","-5.27","6.40"
"6.162","0.74","-4.09","7.89"
"6.188","-1.46","-2.15","9.51"
"6.216","-2.22","-2.52","10.52"
"6.244","-2.54","-3.41","11.41"
"6.272","-2.31","-3.62","11.93"
"6.3","-1.84","-3.11","11.78"
"6.328","-1.12","-2.20","10.91"
"6.356","-0.68","-0.29","9.13"
"6.383","-0.21","1.32","7.25"
"6.409","-2.14","1.71","5.41"
"6.435","-3.54","-1.09","4.61"
"6.462","-0.44","-2.40","4.61"
"6.489","1.43","-1.98","3.71"
"6.516","2.28","-3.42","5.24"
"6.542","3.70","-2.71","6.95"
"6.568","1.88","-2.06","9.22"
"6.594","0.74","-2.84","11.17"
"6.621","-0.16","-3.68","11.91"
"6.649","-0.54","-3.86","12.21"
"6.677","-0.25","-2.97","12.94"
"6.705","-0.26","-0.81","11.94"
"6.733","-1.85","-1.27","9.91"
"6.76","-3.51","-1.37","9.46"
"6.787","-4.38","0.47","7.26"
"6.813","-6.60","-0.62","5.47"
"6.841","-5.75","-2.21","3.40"
"6.868","-4.59","-3.74","3.72"
"6.895","-2.11","-3.95","5.19"
"6.922","0.44","-1.38","6.78"
"6.948","1.15","-0.20","7.88"
"6.974","-0.11","0.48","9.69"
"7.0","-0.70","-0.45","10.45"
"7.028","-0.96","-1.25","10.82"
"7.056","-0.95","-1.10","11.11"
"7.084","-0.25","-0.62","10.72"
"7.112","0.64","0.07","10.74"
"7.138","0.56","1.84","9.02"
"7.163","-0.97","2.64","7.20"
"7.189","-3.16","0.31","5.00"
"7.215","-2.62","-3.30","5.00"
"7.243","-0.14","-3.42","4.51"
"7.27","2.18","-4.71","3.26"
"7.296","1.66","-5.63","5.13"
"7.322","1.80","-3.62","7.04"
"7.348","0.44","-3.24","8.92"
"7.374","-0.41","-3.97","9.97"
"7.401","-1.23","-4.57","10.16"
"7.429","-1.69","-4.66","10.38"
"7.457","-1.61","-4.62","10.86"
"7.485","-2.92","-2.54","8.99"
"7.512","-4.11","-3.05","7.38"
"7.539","-5.48","-0.94","7.64"
"7.567","-4.91","0.22","5.84"
"7.593","-5.33","-2.42","3.76"
"7.62","-5.06","-4.58","3.51"
"7.647","-2.82","-5.89","4.52"
"7.674","-1.04","-3.06","6.04"
"7.701","-0.49","-0.84","6.92"
"7.728","-1.31","0.57","8.63"
"7.754","-1.82","-0.22","8.74"
"7.781","-2.22","-0.94","9.01"
"7.808","-2.71","-1.15","9.53"
"7.835","-2.27","-0.74","9.15"
"7.862","-1.68","0.04","9.06"
"7.888","-0.58","1.94","7.39"
"7.914","-2.06","3.60","5.52"
"7.94","-3.35","1.08","3.60"
"7.967","-1.75","-2.72","4.35"
"7.994","1.24","-3.50","3.28"
"8.02","2.80","-4.02","3.03"
"8.046","1.94","-1.53","4.86"
"8.072","2.05","0.18","6.58"
"8.097","1.17","0.19","8.32"
"8.122","0.64","-0.75","9.57"
"8.148","0.22","-1.48","10.54"
"8.175","0.35","-1.56","10.93"
"8.202","0.82","-1.40","11.34"
"8.229","-0.75","0.79","9.68"
"8.255","-2.88","0.74","8.79"
"8.281","-4.22","2.22","8.73"
"8.307","-3.45","0.11","6.58"
"8.333","-3.90","-1.83","4.88"
"8.36","-3.62","-2.55","3.74"
"8.387","-3.28","-3.75","4.65"
"8.414","-1.10","-3.82","5.89"
"8.442","0.68","-2.07","7.37"
"8.468","0.31","-0.65","8.87"
"8.494","-0.76","-0.60","9.84"
"8.521","-1.27","-1.33","10.54"
"8.549","-1.18","-1.85","11.20"
"8.577","-0.56","-1.68","11.59"
"8.605","0.24","-1.21","11.23"
"8.632","0.80","-0.38","10.75"
"8.659","0.80","1.36","8.78"
"8.684","-1.09","1.74","6.92"
"8.71","-3.13","0.04","4.96"
"8.736","-1.74","-3.02","4.96"
"8.763","0.93","-3.32","5.65"
"8.789","2.33","-3.44","5.04"
"8.815","2.14","-1.22","6.45"
"8.842","2.62","-0.68","8.21"
"8.868","1.69","-0.78","10.12"
"8.895","0.88","-1.57","11.51"
"8.922","0.30","-1.87","12.33"
"8.949","0.11","-1.52","13.12"
"8.976","0.26","-1.16","14.07"
"9.003","-1.15","0.86","12.36"
"9.03","-3.44","1.27","10.21"
"9.057","-4.62","1.90","10.05"
"9.084","-4.64","-0.56","8.31"
"9.111","-5.77","-1.59","6.85"
"9.138","-5.04","-2.64","5.71"
"9.165","-3.51","-4.02","6.39"
"9.193","-1.53","-4.38","7.54"
"9.22","0.19","-5.74","8.61"
"9.246","0.93","-3.74","9.63"
"9.272","-0.69","-1.96","11.29"
"9.3","-0.67","-3.01","12.22"
"9.328","-0.53","-3.55","12.80"
"9.356","0.18","-3.06","12.89"
"9.383","0.92","-2.33","12.38"
"9.41","1.16","-1.19","11.78"
"9.437","0.61","0.40","10.03"
"9.463","-0.42","0.79","8.38"
"9.489","-1.71","0.89","6.64"
"9.515","-1.21","-1.65","6.64"
"9.543","1.54","-2.64","5.90"
"9.569","3.08","-3.86","5.69"
"9.595","3.57","-5.37","7.14"
"9.621","5.27","-3.37","8.79"
"9.647","3.45","-3.40","10.50"
"9.674","2.15","-3.98","11.46"
"9.701","1.43","-4.36","11.40"
"9.728","1.15","-4.24","11.58"
"9.755","1.12","-3.17","11.78"
"9.782","0.06","-2.43","9.90"
"9.808","-0.75","-3.09","8.45"
"9.835","-1.86","-1.34","7.73"
"9.862","-2.66","0.46","5.83"
"9.888","-5.15","-2.28","4.01"
"9.915","-4.22","-4.51","4.27"
"9.943","-1.85","-4.84","5.20"
"9.97","0.57","-2.61","7.00"
"9.996","0.46","-1.26","8.41"
"10.022","-0.67","-0.39","9.68"
"10.049","-1.29","-1.22","10.12"
"10.077","-1.52","-1.72","10.96"
"10.105","-1.35","-1.69","11.59"
"10.133","-0.61","-1.25","11.27"
"10.161","0.05","-0.27","10.96"
"10.188","0.74","1.35","8.99"
"10.213","-0.32","1.61","7.12"
"10.239","-2.16","-0.14","5.08"
"10.267","-1.79","-3.08","5.15"
"10.294","1.12","-4.56","5.41"
"10.32","2.53","-5.40","4.87"
"10.346","2.43","-6.49","6.27"
"10.372","1.16","-4.38","7.79"
"10.398","0.02","-4.94","9.57"
"10.424","-0.80","-5.87","10.76"
"10.452","-1.33","-5.96","11.38"
"10.48","-1.44","-5.85","11.68"
"10.508","-1.43","-5.49","12.26"
"10.536","-1.55","-3.37","10.48"
"10.564","-3.47","-2.40","8.45"
"10.592","-4.44","-0.92","8.22"
"10.619","-4.76","0.32","6.24"
"10.645","-4.13","-2.24","4.29"
"10.672","-3.89","-3.81","4.73"
"10.699","-1.91","-3.99","5.67"
"10.726","0.24","-1.51","7.02"
"10.752","-0.02","-0.01","8.54"
"10.779","-0.89","0.35","9.89"
"10.805","-1.74","-0.34","10.31"
"10.833","-2.11","-1.05","10.92"
"10.861","-2.13","-1.11","11.26"
"10.889","-1.56","-0.66","10.89"
"10.918","-1.01","0.16","10.58"
"10.945","-0.32","1.87","8.63"
"10.971","-1.63","2.33","6.90"
"10.997","-3.45","-0.07","4.93"
"11.024","-2.42","-3.19","4.97"
"11.051","0.11","-3.28","4.84"
"11.077","1.80","-4.02","3.95"
"11.103","1.43","-4.60","5.37"
"11.129","0.41","-2.57","7.25"
"11.155","-0.29","-2.93","9.53"
"11.182","-0.96","-3.86","10.74"
"11.267","-0.84","-3.73","12.20"
"11.295","-1.65","-1.68","10.09"
"11.323","-3.48","-1.76","8.10"
"11.35","-4.59","-0.44","8.12"
"11.377","-4.18","0.39","6.03"
"11.403","-3.38","-2.29","4.38"
"11.43","-2.84","-4.17","4.45"
"11.457","-0.96","-5.50","5.51"
"11.484","0.53","-3.09","6.84"
"11.51","-0.40","-1.06","8.21"
"11.537","-1.73","0.32","9.70"
"11.563","-2.30","-0.35","10.61"
"11.592","-2.42","-0.95","11.49"
"11.62","-2.17","-0.98","11.97"
"11.648","-1.68","-0.55","11.91"
"11.676","-1.38","0.27","11.31"
"11.703","-1.36","2.13","9.07"
"11.729","-2.79","3.65","7.14"
"11.755","-4.33","0.80","5.44"
"11.781","-1.56","-2.91","5.44"
"11.808","1.47","-3.78","5.21"
"11.834","3.13","-4.64","4.44"
"11.86","3.27","-4.85","5.79"
"11.887","4.61","-3.97","7.54"
"11.912","3.50","-4.26","9.51"
"11.938","2.64","-4.97","11.15"
"11.965","1.84","-5.45","11.69"
"11.993","2.02","-5.28","12.12"
"12.02","2.53","-4.51","12.48"
"12.047","0.67","-2.59","10.78"
"12.074","-1.27","-2.73","9.07"
"12.101","-2.52","-1.08","8.89"
"12.128","-2.85","-0.72","6.74"
"12.155","-5.09","-2.18","4.99"
"12.182","-5.14","-3.61","4.46"
"12.209","-4.75","-5.01","5.07"
"12.236","-2.21","-4.82","6.77"
"12.263","-0.05","-4.66","8.27"
"12.29","-2.04","-2.60","9.61"
"12.318","-2.97","-2.30","10.62"
"12.346","-3.45","-3.34","10.84"
"12.374","-3.62","-3.59","11.44"
"12.402","-2.97","-3.28","11.35"
"12.43","-1.84","-2.60","11.03"
"12.458","-0.39","-1.08","9.96"
"12.485","0.33","0.62","8.23"
"12.51","-1.36","0.56","6.29"
"12.536","-1.74","-1.28","6.29"
"12.563","1.82","-4.21","4.24"
"12.589","2.95","-5.49","3.50"
"12.615","2.71","-6.14","5.21"
"12.642","2.42","-4.04","6.75"
"12.668","0.37","-3.20","8.30"
"12.694","-1.06","-3.88","9.36"
"12.721","-2.24","-4.66","9.36"
"12.748","-2.42","-4.73","9.50"
"12.775","-1.90","-4.35","9.98"
"12.802","-3.27","-2.29","8.22"
"12.829","-4.86","-1.34","8.08"
"12.856","-5.29","-0.36","7.22"
"12.883","-5.08","1.00","5.08"
"12.909","-4.98","-1.52","3.37"
"12.936","-3.70","-4.18","3.00"
"12.963","-2.04","-5.15","4.01"
"12.99","0.17","-5.00","5.80"
"13.017","2.28","-4.66","7.39"
"13.043","-0.03","-2.55","8.85"
"13.07","-1.44","-2.87","9.79"
"13.097","-2.09","-3.76","10.30"
"13.125","-2.11","-3.81","10.86"
"13.153","-1.40","-3.53","10.72"
"13.181","-0.82","-2.70","10.26"
"13.209","-0.17","-1.06","9.46"
"13.236","-0.47","0.10","7.79"
"13.262","-1.69","0.18","6.09"
"13.288","-3.34","-1.78","5.54"
"13.315","0.06","-3.73","4.57"
"13.342","2.06","-4.39","3.28"
"13.368","1.97","-4.80","4.95"
"13.394","1.77","-2.71","6.69"
"13.42","0.47","-0.86","8.96"
"13.446","-0.51","-1.55","10.87"
"13.474","-1.15","-2.31","11.42"
"13.502","-1.47","-2.42","11.64"
"13.53","-1.40","-2.11","11.75"
"13.558","-1.62","0.16","10.47"
"13.585","-3.01","0.34","9.14"
"13.611","-3.89","1.40","8.87"
"13.637","-3.59","2.76","6.60"
"13.663","-3.96","0.25","5.08"
"13.689","-3.96","-2.81","3.00"
"13.717","-3.77","-4.43","3.26"
"13.744","-1.51","-4.24","4.59"
"13.771","0.70","-2.26","6.03"
"13.797","-1.39","-0.02","7.62"
"13.824","-2.17","-0.52","8.51"
"13.851","-2.80","-1.45","9.18"
"13.878","-3.18","-1.83","9.90"
"13.905","-3.04","-1.76","9.89"
"13.932","-2.40","-1.01","9.08"
"13.959","-1.17","0.24","8.97"
"13.985","-0.35","1.95","7.32"
"14.011","-1.86","2.22","5.78"
"14.037","-3.85","-0.18","3.99"
"14.064","-0.11","-3.02","3.99"
"14.092","1.25","-2.78","3.77"
"14.118","1.85","-3.62","5.07"
"14.144","1.07","-5.10","6.73"
"14.17","-0.39","-3.24","9.01"
"14.197","-1.31","-3.46","10.89"
"14.225","-2.11","-4.36","11.83"
"14.253","-2.66","-4.86","11.69"
"14.281","-2.86","-4.85","11.59"
"14.309","-2.93","-3.93","11.57"
"14.337","-4.82","-2.87","9.45"
"14.364","-5.61","-2.75","8.35"
"14.392","-5.88","-1.39","6.56"
"14.419","-5.06","-0.15","5.19"
"14.446","-4.09","-3.64","3.89"
"14.473","-3.34","-5.66","4.33"
"14.5","-1.03","-5.30","5.59"
"14.527","1.05","-3.32","7.37"
"14.553","-0.82","-0.97","9.02"
"14.58","-1.80","-1.23","10.32"
"14.608","-2.29","-2.22","10.67"
"14.636","-2.63","-2.50","11.16"
"14.664","-2.40","-2.22","10.99"
"14.693","-2.11","-1.60","10.05"
"14.721","-1.38","-0.16","9.58"
"14.748","-1.06","1.53","7.98"
"14.774","-2.37","1.54","6.37"
"14.8","-3.74","-1.42","5.21"
"14.827","-0.38","-3.02","5.21"
"14.854","2.13","-4.04","3.27"
"14.88","2.33","-4.76","5.03"
"14.906","1.78","-6.55","6.81"
"14.932","1.64","-4.63","9.10"
"14.958","0.54","-4.76","10.95"
"14.986","-0.36","-5.54","11.45"
"15.013","-1.00","-6.05","11.34"
"15.042","-1.38","-6.07","11.32"
"15.07","-1.53","-4.22","10.73"
"15.098","-2.95","-4.45","8.63"
"15.125","-4.50","-3.02","8.77"
"15.152","-4.44","-1.64","6.61"
"15.179","-4.06","-0.03","5.12"
"15.206","-4.83","-3.11","3.36"
"15.233","-4.01","-5.15","3.81"
"15.261","-1.67","-4.93","5.10"
"15.287","0.88","-3.10","6.81"
"15.313","-0.95","-0.73","8.42"
"15.34","-1.91","-0.85","9.86"
"15.368","-2.38","-1.87","10.35"
"15.396","-2.65","-2.16","11.32"
"15.424","-2.26","-2.18","11.53"
"15.452","-1.72","-1.67","10.81"
"15.48","-0.92","-0.44","10.31"
"15.508","-0.80","1.28","8.42"
"15.534","-2.59","1.43","6.61"
"15.56","-4.68","-1.04","5.69"
"15.587","-0.89","-3.28","5.69"
"15.614","0.99","-3.06","4.39"
"15.64","1.58","-3.38","5.75"
"15.666","1.76","-4.59","7.09"
"15.693","2.83","-2.46","9.05"
"15.719","1.35","-2.68","10.92"
"15.746","0.25","-3.32","12.72"
"15.773","-0.26","-3.95","13.02"
"15.801","-0.05","-3.75","13.41"
"15.829","0.14","-2.06","12.77"
"15.856","-1.64","-1.63","10.75"
"15.884","-2.78","-1.52","10.28"
"15.912","-3.09","-0.36","8.36"
"15.939","-3.55","0.61","6.55"
"15.965","-5.13","-1.89","4.88"
"15.993","-3.92","-3.87","5.19"
"16.02","-2.03","-4.02","5.66"
"16.047","0.26","-1.75","7.24"
"16.073","2.38","-1.08","8.67"
"16.099","0.54","-0.29","10.23"
"16.126","-0.51","-1.16","11.42"
"16.154","-0.88","-2.09","11.77"
"16.182","-0.67","-2.03","12.27"
"16.21","0.09","-1.47","11.92"
"16.237","0.60","-0.76","11.52"
"16.264","0.96","1.06","9.83"
"16.289","0.42","1.29","8.27"
"16.314","-1.11","-0.48","6.62"
"16.341","-2.82","-2.88","6.25"
"16.369","0.25","-3.62","6.17"
"16.395","2.57","-4.19","4.43"
"16.421","2.77","-4.92","6.17"
"16.447","2.44","-6.81","7.85"
"16.473","2.34","-4.97","10.01"
"16.5","0.95","-5.13","12.07"
"16.527","-0.21","-5.82","12.82"
"16.555","-0.90","-6.18","12.59"
"16.583","-1.14","-6.15","12.65"
"16.611","-1.50","-3.75","11.40"
"16.639","-2.88","-3.80","9.40"
"16.666","-4.34","-2.30","9.84"
"16.694","-4.26","-1.18","7.88"
"16.721","-4.04","0.27","6.28"
"16.747","-4.64","-2.57","4.33"
"16.774","-3.70","-4.62","4.33"
"16.801","-1.32","-4.15","5.30"
"16.828","0.58","-1.93","7.08"
"16.854","-1.18","0.45","8.67"
"16.88","-2.13","-0.24","9.81"
"16.907","-2.68","-1.55","10.49"
"16.935","-2.75","-2.09","11.11"
"16.963","-2.29","-1.79","11.26"
"16.991","-2.19","-1.16","10.69"
"17.02","-1.78","-0.38","10.74"
"17.048","-1.60","1.26","9.05"
"17.074","-3.02","1.21","7.50"
"17.1","-4.44","-1.80","6.67"
"17.127","-0.44","-4.90","6.67"
"17.154","2.47","-5.64","4.41"
"17.18","3.03","-5.77","5.81"
"17.206","2.69","-7.03","7.32"
"17.232","2.79","-5.09","9.12"
"17.258","0.86","-4.35","10.80"
"17.285","-0.23","-4.89","12.04"
"17.313","-0.82","-5.39","12.01"
"17.341","-0.88","-5.31","12.16"
"17.37","-0.74","-3.50","11.71"
"17.398","-2.70","-2.14","9.90"
"17.425","-4.70","-0.87","10.60"
"17.453","-4.79","0.35","8.49"
